RESG_DIA,CAPTC_DIA,NR_COTST,VL_PATRIM_LIQ,VL_QUOTA,VL_TOTAL,SUGESTÃO
2498445.78,566228.0,23651,2883958636.07,2.2895605,2894828856.89,1
4936015.24,1697766.79,23619,2880784269.42,2.2896112,2887915037.65,1
2261336.63,208575.56,23591,2883063480.34,2.2930542,2891911544.0,1
1648067.28,266341.76,23578,2880102760.74,2.2917983,2886431232.64,1
2076007.51,976033.65,23550,2876966611.92,2.2901781,2881594243.56,1
3930256.94,282561.53,23536,2876583002.56,2.2927764,2891258364.56,1
2818804.29,386782.6,23518,2873713933.62,2.2924281,2886813296.21,1
1745118.51,346054.9,23500,2872886445.0,2.292884,2888563026.43,1
5582957.54,59334.27,23469,2869415940.51,2.2945227,2887255359.54,1
3176279.3,469959.13,23445,2864066135.56,2.2924088,3000576980.48,1
1701690.57,236458.88,23418,2866968313.44,2.2959045,2868635003.68,1
2293748.81,207068.92,23381,2869419667.56,2.2995386,2872108490.88,1
101283.98,46902.65,16610,107326034.85,1.95392868,107448051.12,1
61815.46,17550.4,16651,107218407.02,1.95164974,107633372.49,1
333101.66,29139.44,16632,107181385.65,1.95202594,107354838.33,1
0.0,10678.67,16635,106572831.33,1.94165597,106800883.82,1
86828.57,4718.74,16624,106719090.41,1.94668147,106865879.76,1
49841.04,13396.07,16644,106489698.41,1.9449485,106779384.05,1
134297.37,8717.56,16682,106609537.18,1.94697804,106769656.1,1
147784.79,10525.3,16650,107012139.39,1.95459496,107054207.17,1
0.0,11521.4,16647,107318610.82,1.96198084,107474849.99,1
24998.14,20785.56,16639,106111550.95,1.95537362,107113992.95,1
109419.48,9974.89,16647,105853581.9,1.95923009,107228541.38,1
866436.61,67318.03,16685,106235917.26,1.96506071,106749144.89,1
477221.67,4277.09,16680,106283276.17,1.9672145,106397359.79,1
0.0,4165.03,16683,105956739.63,1.9612785,106085541.34,1
73357.32,105570.11,16680,105559873.38,1.96703841,106433638.41,1
